"id","title","kind","category","entry_chars","wikipedia_source_count","wikipedia_titles","coverage_score","title_match_score","needs_rewrite","review_status","source_errors","wikipedia_urls"
"ad-line","Accumulation / Distribution Line","İndikatör","Hacim","5255","3","Accumulation/distribution index | On-balance volume | Technical indicator","20","66,7","False","pass","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"adr","ADR — Average Daily Range","İndikatör","Risk / Volatilite","5129","4","Average true range | Drawdown (economics) | Technical indicator | Volatility (finance)","20","50","False","pass","","https://en.wikipedia.org/wiki/Average_true_range https://en.wikipedia.org/wiki/Drawdown_(economics) https://en.wikipedia.org/wiki/Technical_indicator https://en.wikipedia.org/wiki/Volatility_(finance)"
"ad-line-breadth","Advance / Decline Line","İndikatör","Piyasa Genişliği","5077","2","Technical analysis | Technical indicator","17,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"adx-dmi","ADX / DMI","İndikatör","Trend","4861","2","Average directional movement index | Technical analysis","5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Average_directional_movement_index https://en.wikipedia.org/wiki/Technical_analysis"
"alma","ALMA — Arnaud Legoux Moving Average","İndikatör","Trend / Ortalama","5410","2","Moving average | Technical indicator","12,5","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"alpha-beta","Alpha ve Beta","Performans Ölçütü","Portföy / Risk","1345","3","Beta (finance) | Technical analysis | Trading strategy","10","50","True","too_short","","https://en.wikipedia.org/wiki/Beta_(finance) https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"anchored-vwap","Anchored VWAP","İndikatör","Hacim","5372","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","30","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"aroon","Aroon","İndikatör","Trend","5003","2","Moving average | Technical indicator","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"atr","ATR — Average True Range","İndikatör","Risk / Volatilite","5020","3","Average true range | Technical indicator | Volatility (finance)","22,5","80","False","pass","","https://en.wikipedia.org/wiki/Average_true_range https://en.wikipedia.org/wiki/Technical_indicator https://en.wikipedia.org/wiki/Volatility_(finance)"
"awesome","Awesome Oscillator","İndikatör","Momentum","5321","4","Moving average | Relative strength index | Stochastic oscillator | Technical indicator","22,5","50","False","pass","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"backtest","Backtest","Kavram","","3173","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
